번호	1칸	확률	2칸	확률	3칸	확률	4칸	확률	5칸	확률	6칸	확률
1	152	12.85%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
2	147	12.43%	17	1.44%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
3	111	9.38%	32	2.70%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
4	121	10.23%	46	3.89%	4	0.34%	0	0.00%	0	0.00%	0	0.00%
5	93	7.86%	58	4.90%	12	1.01%	0	0.00%	0	0.00%	0	0.00%
6	85	7.19%	53	4.48%	10	0.85%	1	0.08%	0	0.00%	0	0.00%
7	66	5.58%	53	4.48%	21	1.78%	2	0.17%	0	0.00%	0	0.00%
8	57	4.82%	67	5.66%	20	1.69%	8	0.68%	1	0.08%	0	0.00%
9	70	5.92%	67	5.66%	20	1.69%	4	0.34%	1	0.08%	0	0.00%
10	49	4.14%	71	6.00%	46	3.89%	5	0.42%	1	0.08%	0	0.00%
11	45	3.80%	72	6.09%	34	2.87%	8	0.68%	1	0.08%	0	0.00%
12	38	3.21%	77	6.51%	48	4.06%	10	0.85%	0	0.00%	0	0.00%
13	22	1.86%	57	4.82%	50	4.23%	22	1.86%	1	0.08%	0	0.00%
14	25	2.11%	48	4.06%	51	4.31%	24	2.03%	5	0.42%	0	0.00%
15	22	1.86%	50	4.23%	50	4.23%	21	1.78%	3	0.25%	0	0.00%
16	17	1.44%	52	4.40%	54	4.56%	20	1.69%	9	0.76%	0	0.00%
17	10	0.85%	45	3.80%	52	4.40%	40	3.38%	7	0.59%	0	0.00%
18	11	0.93%	53	4.48%	47	3.97%	36	3.04%	10	0.85%	0	0.00%
19	6	0.51%	50	4.23%	56	4.73%	33	2.79%	13	1.10%	0	0.00%
20	11	0.93%	34	2.87%	55	4.65%	37	3.13%	13	1.10%	1	0.08%
21	2	0.17%	25	2.11%	64	5.41%	44	3.72%	24	2.03%	1	0.08%
22	4	0.34%	25	2.11%	61	5.16%	45	3.80%	12	1.01%	4	0.34%
23	6	0.51%	10	0.85%	50	4.23%	57	4.82%	27	2.28%	3	0.25%
24	5	0.42%	22	1.86%	48	4.06%	57	4.82%	27	2.28%	9	0.76%
25	2	0.17%	19	1.61%	36	3.04%	50	4.23%	31	2.62%	6	0.51%
26	3	0.25%	17	1.44%	52	4.40%	58	4.90%	25	2.11%	16	1.35%
27	2	0.17%	17	1.44%	41	3.47%	54	4.56%	47	3.97%	7	0.59%
28	0	0.00%	11	0.93%	39	3.30%	59	4.99%	57	4.82%	13	1.10%
29	1	0.08%	10	0.85%	34	2.87%	53	4.48%	39	3.30%	17	1.44%
30	0	0.00%	7	0.59%	24	2.03%	57	4.82%	43	3.63%	11	0.93%
31	0	0.00%	8	0.68%	14	1.18%	57	4.82%	54	4.56%	21	1.78%
32	0	0.00%	3	0.25%	24	2.03%	48	4.06%	58	4.90%	30	2.54%
33	0	0.00%	1	0.08%	23	1.94%	47	3.97%	60	5.07%	19	1.61%
34	0	0.00%	3	0.25%	9	0.76%	37	3.13%	75	6.34%	30	2.54%
35	0	0.00%	1	0.08%	13	1.10%	49	4.14%	74	6.26%	32	2.70%
36	0	0.00%	1	0.08%	6	0.51%	25	2.11%	64	5.41%	49	4.14%
37	0	0.00%	1	0.08%	5	0.42%	43	3.63%	59	4.99%	60	5.07%
38	0	0.00%	0	0.00%	5	0.42%	21	1.78%	64	5.41%	61	5.16%
39	0	0.00%	0	0.00%	2	0.17%	12	1.01%	67	5.66%	78	6.59%
40	0	0.00%	0	0.00%	2	0.17%	17	1.44%	58	4.90%	86	7.27%
41	0	0.00%	0	0.00%	0	0.00%	17	1.44%	48	4.06%	86	7.27%
42	0	0.00%	0	0.00%	1	0.08%	3	0.25%	53	4.48%	104	8.79%
43	0	0.00%	0	0.00%	0	0.00%	2	0.17%	31	2.62%	122	10.31%
44	0	0.00%	0	0.00%	0	0.00%	0	0.00%	21	1.78%	141	11.92%
45	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	176	14.88%
